"transect.id","M","F","J","school.count","","sanctuary","status","group.id"
"Fished.Parker_Pt.Parker_Point.BS.4",22,41,0,7,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.BS"
"Fished.Parker_Pt.Parker_Point.BS.5",21,0,0,7,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.BS"
"Fished.Parker_Pt.Parker_Point.LC.1",0,0,0,0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.LC"
"Fished.Parker_Pt.Parker_Point.LC.2",0,0,0,0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.LC"
"Fished.Parker_Pt.Parker_Point.LC.3",0,4,0,1,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.LC"
"Fished.Parker_Pt.Parker_Point.LC.4",0,7,0,2,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.LC"
"Fished.Parker_Pt.Parker_Point.LC.5",0,12,0,3,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.LC"
"Fished.Parker_Pt.Parker_Point.SRJ.1",0,57,0,3,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.SRJ"
"Fished.Parker_Pt.Parker_Point.SRJ.2",0,0,1,1,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.SRJ"
"Fished.Parker_Pt.Parker_Point.SRJ.3",0,0,0,0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.SRJ"
"Fished.Parker_Pt.Parker_Point.SRJ.4",0,0,0,0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.SRJ"
"Fished.Parker_Pt.Parker_Point.SRJ.5",0,0,0,0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.SRJ"
"No-take.Parker_Pt.East_Salmon.EP.1",0,3,0,1,NA,"Parker_Pt","No-take","No-take.Parker_Pt.East_Salmon.EP"
